product_title,product_vendor,product_type,quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Sodabi Original Nature 1/2L,Aphrodisiac,Alimentaire,1,2500.0,0.0,0.0,2500.0,450.0,2950.0
COD- Cajou Moelleux Nature - 400g,COD,Alimentaire,1,7627.0,0.0,-3813.0,3814.0,686.0,4500.0
Assiette écuelle M1 lot de 6,Vaisselle Bénin,Électroménagers,1,21219.0,0.0,0.0,21219.0,3819.0,25038.0
TOP Nuts Noix de Cajou Beurré,le-grandmarche,Alimentaire,1,1271.0,0.0,0.0,1271.0,229.0,1500.0
Comme au marché-King of Soto - Liqueur arrangé Ananas - 50cl - 40%,Comme au Marché,Alimentaire,1,3178.0,0.0,0.0,3178.0,572.0,3750.0
Comme au marché-Bio legumes - Amanvive - 300g,Comme au Marché,Alimentaire,1,339.0,0.0,0.0,339.0,61.0,400.0
Olou Femi - Sac à mains rose - Femme,Olou Femi,Sacs à mains,1,8475.0,0.0,0.0,8475.0,1525.0,10000.0
Conceptio Homme – 30 sachets + 90 capsules,LA NOUVELLE PHARMACIE HOUEYIHO,Alimentaire,1,18983.0,0.0,0.0,18983.0,3417.0,22400.0
"Infinix S4 PRO - 4G - 6 Go RAM - 64 Go DE ROM - 6,2 pousse HD+ - 4000MAH",Pluri Mobile,High tech,1,72034.0,0.0,0.0,72034.0,12966.0,85000.0
Festti jus de Pastèque-Ananas pack de 6,GRAND MARCHÉ,Alimentaire,1,2542.0,0.0,-1271.0,1271.0,229.0,1500.0
Akpé plus-Graine de fenugrec,Akpe plus,Alimentaire,1,847.0,0.0,0.0,847.0,153.0,1000.0
Savon Cappuccino,Origine Terre,hygiène et beauté,1,2541.0,0.0,-1694.0,847.0,153.0,1000.0
Wadu wanu - Porc fume - 1Kg,Comme au Marché,Alimentaire,1,2542.0,0.0,0.0,2542.0,458.0,3000.0
Manix Gel Infiniti 100ML,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,1,6780.0,0.0,-3390.0,3390.0,610.0,4000.0
Origine terre-Pack Stop Acné,Origine Terre,hygiène et beauté,1,35169.0,0.0,-16525.0,18644.0,3356.0,22000.0
Afrijus - Jus de Baobab à l'Ananas- 30 cl,Afrijus,Alimentaire,1,1271.0,0.0,0.0,1271.0,229.0,1500.0
Shampooing solide Antipelliculaire Bay St Thomas Neem,Origine Terre,hygiène et beauté,1,2542.0,0.0,0.0,2542.0,458.0,3000.0
King of Soto - Liqueur arrangé Ananas - 50cl - 40%,Comme au Marché,Alimentaire,1,3178.0,0.0,0.0,3178.0,572.0,3750.0
Dayélian Gari Premium au lait de coco,Iridium,Alimentaire,1,424.0,0.0,0.0,424.0,76.0,500.0
COD- Cajou Moelleux Beurré - 200g,COD,Alimentaire,1,2119.0,0.0,0.0,2119.0,381.0,2500.0
Itel A55,Pluri Mobile,High tech,1,29661.0,0.0,0.0,29661.0,5339.0,35000.0
Ducray Keracnyl Gel Moussant FL/200ML,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,1,4835.0,0.0,0.0,4835.0,870.0,5705.0
Terra Foods - Caju  Epice Caramel - 100g,Terra Foods,Alimentaire,1,1271.0,0.0,0.0,1271.0,229.0,1500.0
Afrodisiac Pontche traditionnel 1/2L,GRAND MARCHÉ,,1,2500.0,0.0,0.0,2500.0,450.0,2950.0
Festti - Jus Ananas petit cola - 30 cl,AS GREEN SARL,Alimentaire,1,5695.0,0.0,-4424.0,1271.0,229.0,1500.0
Savon Mangue Cannelle,Origine Terre,hygiène et beauté,1,1695.0,0.0,0.0,1695.0,305.0,2000.0
Thé de clou de girofle,le-grandmarche,Alimentaire,1,847.0,0.0,0.0,847.0,153.0,1000.0
Chargeur Lenovo 20V 3.25A - Adapter PC IBM Lenovo - Bout USB,Ordi'sol,,1,5085.0,0.0,0.0,5085.0,915.0,6000.0
Farines de MAÏS blanc (zea mays),GRAND MARCHÉ,Alimentaire,1,508.0,0.0,0.0,508.0,92.0,600.0
Sérum végétal anti acné et points noirs,Origine Terre,hygiène et beauté,1,4238.0,0.0,0.0,4238.0,762.0,5000.0
Liqueur Afrodisiac - DEM POWER - 1L,Aphrodisiac,,1,3814.0,0.0,0.0,3814.0,686.0,4500.0
King of Soto-liqueur azonbebe- 50cl - 40% d'alcool,Comme au Marché,Alimentaire,1,8136.0,0.0,-4068.0,4068.0,732.0,4800.0
Tara - Kink-Biss - 20 sachets,Comme au Marché,Alimentaire,1,1271.0,0.0,0.0,1271.0,229.0,1500.0
Afrodisiac - TENGA Masturbateur gorge profonde pour homme - Pré-lubrifié,Aphrodisiac,,1,12712.0,0.0,0.0,12712.0,2288.0,15000.0
Wadu wanu - Haricot rouge precuit - 500g,Comme au Marché,Alimentaire,1,424.0,0.0,0.0,424.0,76.0,500.0
MDR - Poisson fumé assaisonné,Miséricorde Divine,Alimentaire,1,847.0,0.0,0.0,847.0,153.0,1000.0
Confessions d’un entrepreneur… pas comme les autres - Yvon Chouinard - Français,Librairie Delphina,,1,4661.0,0.0,0.0,4661.0,839.0,5500.0
Manix Gel De Massage Aphrodiasiac Effet Réchauffant 200ML,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,1,3390.0,0.0,0.0,3390.0,610.0,4000.0
Après-shampooing solide Aloe Baobab,Origine Terre,hygiène et beauté,1,4238.0,0.0,-2119.0,2119.0,381.0,2500.0
Beurre de karité au citron 350g,le-grandmarche,hygiène et beauté,1,1271.0,0.0,0.0,1271.0,229.0,1500.0
Afrijus - Jus de Gingembre à l'Ananas - 30 cl,Afrijus,Alimentaire,1,2542.0,0.0,-1271.0,1271.0,229.0,1500.0
PRT20-0001 - Itel 2173 - Mémoire interne 4MB/ 4MB RAM - Batterie 1000mAh - Double Sim,Pluri Mobile,High tech,1,4661.0,0.0,0.0,4661.0,839.0,5500.0
Terra Foods - Caju Chocolat - 100g,Terra Foods,Alimentaire,1,1271.0,0.0,0.0,1271.0,229.0,1500.0
PRT20-0001 -Tecno POP 5 - Système Android 10 - Mémoire interne 16 Go Ram 1 Go - Reconnaissance faciale +Capteur d'empreintes digitales,Pluri Mobile,High tech,1,38136.0,0.0,0.0,38136.0,6864.0,45000.0
COD - Arachide gouteuse - 250g,COD,Alimentaire,1,636.0,0.0,0.0,636.0,114.0,750.0
Gobelet lot de 6,Vaisselle Bénin,Électroménagers,1,22373.0,0.0,0.0,22373.0,4027.0,26400.0
Comme au marché-Wadu wanu - Haricot blanc precuit - 500g,Comme au Marché,Alimentaire,1,423.0,0.0,0.0,423.0,77.0,500.0
Bravo délices - Concentrée de tomate naturelle,JAD'S Corporate,Alimentaire,1,1695.0,0.0,0.0,1695.0,305.0,2000.0
Miel Pur filtré Fortis Familia 50cl,le-grandmarche,Alimentaire,1,1441.0,0.0,0.0,1441.0,259.0,1700.0
Brioca Aklui-Riz-Tapioca à la menthe 100% naturel 230g,Groupe Nare,Alimentaire,1,508.0,0.0,0.0,508.0,92.0,600.0
Afrijus - Poudre de Baobab - 250g,Afrijus,Alimentaire,1,1271.0,0.0,0.0,1271.0,229.0,1500.0
Infinix Hot 8,Pluri Mobile,High tech,1,50847.0,0.0,0.0,50847.0,9153.0,60000.0
BRIGHT COSMETIC - Savon Dermadose plus - visage - soins anti-acnés - 75g,Arifael,Beauté et hygiène,1,678.0,0.0,0.0,678.0,122.0,800.0
Espace moringa bio et compagnie-Vin de moringa-75 cl,Espace moringa bio et compagnie,Alimentaire,1,2966.0,0.0,0.0,2966.0,534.0,3500.0
Comme au marché-King of Soto- cocktail Bissap- 75cl - 8% d'alcool,Comme au Marché,Alimentaire,1,2119.0,0.0,0.0,2119.0,381.0,2500.0
Sodabi Original Nature 1L,Aphrodisiac,Alimentaire,1,9916.0,0.0,-4958.0,4958.0,892.0,5850.0
Dayélian TOP Nuts Noix de Cajou Beurré,Iridium,Alimentaire,1,1271.0,0.0,0.0,1271.0,229.0,1500.0
Dem Bio- Mélange Epices - 250 ml,Dem Events & Fils,Alimentaire,1,847.0,0.0,0.0,847.0,153.0,1000.0
Ducray Keracnyl Stop Bouton Fl/100ml,LA NOUVELLE PHARMACIE HOUEYIHO,hygiène et beauté,1,5678.0,0.0,0.0,5678.0,1022.0,6700.0
PRT20-0001 -Tecno POP 4 Air- Système Android 10 - Mémoire interne 16 Go Ram 1 Go - Reconnaissance faciale +Capteur d'empreintes digitales,Pluri Mobile,High tech,1,38136.0,0.0,0.0,38136.0,6864.0,45000.0
Afrodisiac - Djanta - Gommage éclat pour la peau,Aphrodisiac,,1,3390.0,0.0,0.0,3390.0,610.0,4000.0
Brioca Aklui-Riz-Tapioca à la citronnelle 100% naturel,le-grandmarche,Alimentaire,1,508.0,0.0,0.0,508.0,92.0,600.0
Savon Cleopatra,Origine Terre,hygiène et beauté,1,847.0,0.0,0.0,847.0,153.0,1000.0
Brioca Aklui-Riz-Tapioca à la menthe 100% naturel,le-grandmarche,Alimentaire,1,508.0,0.0,0.0,508.0,92.0,600.0
Gel hydroalcoolique Godwin,le-grandmarche,hygiène et beauté,1,3813.0,0.0,0.0,3813.0,687.0,4500.0
Green Beauty - Savon veloute de mangue - 100g,Green Beauty,hygiène et beauté,1,1305.0,0.0,0.0,1305.0,235.0,1540.0
Espace moringa bio et compagnie-Vin de moringa-1L,Espace moringa bio et compagnie,Alimentaire,0,2966.0,0.0,-2966.0,0.0,0.0,0.0
Passerelle des PAM - Artemisia annua,GRAND MARCHÉ,,0,0.0,0.0,0.0,0.0,0.0,0.0
Bravo délices - Farine de Soja torréfiée - 1kg,JAD'S Corporate,Alimentaire,0,1695.0,0.0,-1695.0,0.0,0.0,0.0
"Coffret Ramadan, Petit panier.",GRAND MARCHÉ,Alimentaire,0,10169.0,0.0,-10169.0,0.0,0.0,0.0
Talopkemi lot de 6,le-grandmarche,Électroménagers,0,6355.0,-317.0,-6038.0,0.0,0.0,0.0
La secrétaire particulière-Jean PLIYA-Français,Librairie Delphina,,0,11949.0,0.0,-11949.0,0.0,0.0,0.0
O'fil des peches - Lapin frais - 1Kg200,Comme au Marché,Alimentaire,0,7119.0,0.0,-7119.0,0.0,0.0,0.0
Arifael-BRIGHT COSMETIC - Savon Eclat Naturel Hydratant - Visage Propre- 110g,Arifael,Beauté et hygiène,0,678.0,0.0,-678.0,0.0,0.0,0.0
Gel hydroalcoolique Godwin 35ml,le-grandmarche,hygiène et beauté,0,805.0,0.0,-805.0,0.0,0.0,0.0
King of Soto- cocktail Bissape- 75cl - 8% d'alcool,Comme au Marché,Alimentaire,0,1695.0,0.0,-1695.0,0.0,0.0,0.0
"Lumière, Crème visage illuminatrice",Origine Terre,hygiène et beauté,0,3390.0,0.0,-3390.0,0.0,0.0,0.0
COD - Tapioca Soufflé - 200g,COD,Alimentaire,0,2203.0,0.0,-2203.0,0.0,0.0,0.0
Miel Houefa - ½L,Comme au Marché,Alimentaire,0,1271.0,0.0,-1271.0,0.0,0.0,0.0
Boucles d'oreilles Made in togo,Aphrodisiac,,0,10169.0,0.0,-10169.0,0.0,0.0,0.0
Comme au marché-Wadu wanu - Farine de cossette d’igname - 700g,Comme au Marché,Alimentaire,0,1695.0,0.0,-1695.0,0.0,0.0,0.0
Thé de curcuma,le-grandmarche,Alimentaire,0,678.0,0.0,-678.0,0.0,0.0,0.0
Boucles d'oreilles Hossiwa,GRAND MARCHÉ,,0,10169.0,0.0,-10169.0,0.0,0.0,0.0
JYNKS GROUP-Sirop royal bissap-saveur menthe-75 cl,JYNKS GROUP,Alimentaire,0,1297.0,0.0,-1297.0,0.0,0.0,0.0
,,,0,0.0,0.0,-26800.0,-26800.0,0.0,-35760.0
COD - Cacahouètes Gouteuses Caramélisées - 500g,COD,Alimentaire,0,10170.0,0.0,-10170.0,0.0,0.0,0.0
JYNKS GROUP-Sirop royal bissap-saveur gingembre-75 cl,JYNKS GROUP,Alimentaire,0,6102.0,0.0,-6102.0,0.0,0.0,0.0
Liqueur au fruit de datte 1/2L,Aphrodisiac,Alimentaire,0,2500.0,0.0,-2500.0,0.0,0.0,0.0
Green beauty - Savon Amina - 100g,Green Beauty,hygiène et beauté,0,1695.0,0.0,-1695.0,0.0,0.0,0.0
INFINIX S5 PRO ( X660B) – DUAL SIM – 4G – 64Go ROM – 4Go RAM,Pluri Mobile,High tech,0,63559.0,0.0,-63559.0,0.0,0.0,0.0
"Infinix S4 Pro - 4G - 6 Gb RAM - 64 Gb De ROM - 6,2 Pouces HD+ - 32MP/13MP+8MP+2MP - 4000mah",Pluri Mobile,High tech,0,101695.0,0.0,-101695.0,0.0,0.0,0.0
"KARIBAB, Crème visage restructurante",Origine Terre,hygiène et beauté,0,2966.0,0.0,-2966.0,0.0,0.0,0.0
Bionice- Savon éclat nare- 100% naturel,Ets ZECM NICE,Beauté et hygiène,0,763.0,0.0,-763.0,0.0,0.0,0.0
King of Soto- cocktail Bissap- 75cl - 8% d'alcool,Comme au Marché,Alimentaire,0,1695.0,0.0,-1695.0,0.0,0.0,0.0
PRT20-0005 - Dayélian - Ahayoué Deluxe - 75g,Iridium,Alimentaire,0,763.0,0.0,-763.0,0.0,0.0,0.0
"Coton Karité, 2-en-1 Shampooing Après-shampooing pour Bébé et Enfant",Origine Terre,hygiène et beauté,0,15254.0,0.0,-15254.0,0.0,0.0,0.0
Arifael-BRIGHT COSMETIC - Savon Dermadose plus - visage - soins anti-acnés - 75g,Arifael,Beauté et hygiène,0,678.0,0.0,-678.0,0.0,0.0,0.0
Assiette plate M1 lot de 6,Vaisselle Bénin,Électroménagers,0,19661.0,-983.0,-18678.0,0.0,0.0,0.0
Champignon Tchigan,le-grandmarche,Alimentaire,0,678.0,0.0,-678.0,0.0,0.0,0.0
Sandale blanche en cuir - Femme,Shamma,Chaussures Femme,0,12711.0,0.0,-12711.0,0.0,0.0,0.0
Samsung Galaxy S10e,Pluri Mobile,High tech,0,355932.0,0.0,-355932.0,0.0,0.0,0.0
PRT20-0005 - Dayélian - Coco Tchigan Muscade,Iridium,Alimentaire,0,678.0,0.0,-678.0,0.0,0.0,0.0
Fertitop femme fertilite gel b/60,LA NOUVELLE PHARMACIE HOUEYIHO,Alimentaire,0,23627.0,0.0,-23627.0,0.0,0.0,0.0
Assiette ronde M1 lot de 6,Vaisselle Bénin,Électroménagers,0,73729.0,0.0,-73729.0,0.0,0.0,0.0
Afrijus - Jus de Moringa à l'Ananas - 30 cl,Afrijus,Alimentaire,0,1271.0,0.0,-1271.0,0.0,0.0,0.0
Robe moulante-Violette-Taille M-Femme,KIONA,Robe femme,0,38136.0,0.0,-38136.0,0.0,0.0,0.0
LG Inverter Congélateur debout 6 casiers,TAG,grand électroménager,0,508475.0,0.0,-508475.0,0.0,0.0,0.0
Mini Four électrique 20L,TAG,Petits électroménagers,0,59322.0,0.0,-59322.0,0.0,0.0,0.0
Biscolait amuse gueule 1L,le-grandmarche,Alimentaire,-1,0.0,0.0,-1186.0,-1186.0,-214.0,-1400.0
Tecno Pouvoir 3 - 6.2'' - 5000 MAh - 32 Gb Rom / 2 Gb Ram - 13 Mpx / 13 Mpx,le-grandmarche,High tech,-1,0.0,0.0,-59322.0,-59322.0,-10678.0,-70000.0
Campari 1L 25%,le-grandmarche,Alimentaire,-1,0.0,0.0,-3500.0,-3500.0,0.0,-3500.0
Arcocere - bandes d'épilation pour cire - 100 pièces,le-grandmarche,Beauté et hygiène,-1,0.0,0.0,-8475.0,-8475.0,-1525.0,-10000.0
Barbecue électrique grille ronde,le-grandmarche,Petits électroménagers,-1,0.0,0.0,0.0,0.0,0.0,0.0
Byphasse - hair pro après-shampooing volume - 500ml,le-grandmarche,Beauté et hygiène,-1,0.0,0.0,-8475.0,-8475.0,-1525.0,-10000.0
Samsung Galaxy A2 Core,le-grandmarche,High tech,-1,0.0,0.0,-46610.0,-46610.0,-8390.0,-55000.0
ANDY csws 496tr Lave-Linge séchant Frontal,le-grandmarche,grand électroménager,-2,0.0,0.0,-555932.0,-555932.0,-100068.0,-656000.0
Babaria - baume massage rafraîchissant pieds et jambes à l'aloé véra - 300ml,le-grandmarche,Beauté et hygiène,-2,0.0,0.0,-3325.0,-3325.0,-599.0,-3924.0
ROGE Carvaillès Créme Lavante Hydratante 300ml,le-grandmarche,Beauté et hygiène,-2,0.0,0.0,-14780.0,-14780.0,-2660.0,-17440.0
Amuses gueules,le-grandmarche,Alimentaire,-2,0.0,0.0,-2034.0,-2034.0,-366.0,-2400.0
Arachide enrobée en bouteille amuse gueule,le-grandmarche,Alimentaire,-3,0.0,0.0,-3234.0,-3234.0,-582.0,-3816.0
Gommage tonic Corps 300ML CLARINS,le-grandmarche,Beauté et hygiène,-7,0.0,0.0,-35000.0,-35000.0,-6300.0,-41300.0
