location_country,total_visitors,total_sessions
Benin,7220,13494
United States,3433,3486
France,860,1033
Ivory Coast,721,829
,568,573
Ireland,504,504
Cameroon,294,334
Senegal,252,288
United Kingdom,247,269
South Africa,235,259
Togo,215,250
Burkina Faso,210,236
Canada,204,224
Mali,158,176
Morocco,168,176
Germany,155,156
Madagascar,116,129
Gabon,83,89
Congo,76,79
Philippines,66,71
Niger,64,70
Belgium,56,63
Haiti,61,62
DR Congo,39,49
Switzerland,44,47
Guinea,38,45
Republic of the Congo,38,40
Tunisia,36,36
Algeria,34,35
Chad,31,35
Netherlands,32,34
Russia,34,34
China,33,33
Italy,26,26
Congo Republic,22,25
Nigeria,21,23
Poland,18,20
Burundi,14,16
Lebanon,16,16
R̩union,16,16
Luxembourg,16,16
India,14,16
Rwanda,15,15
Austria,15,15
Guadeloupe,13,14
Mauritania,14,14
Mauritius,14,14
Hong Kong,7,14
Martinique,11,11
Romania,11,11
Ghana,11,11
Spain,10,10
Mongolia,10,10
Comoros,8,10
Libya,9,9
Brazil,7,9
Central African Republic,9,9
Bangladesh,7,8
Thailand,6,8
Slovakia,4,8
Republic of Moldova,7,7
Uganda,7,7
Singapore,7,7
Hungary,7,7
Mozambique,5,7
Turkey,7,7
Angola,6,6
Portugal,5,6
Kuwait,5,6
United Arab Emirates,6,6
Zambia,6,6
Sweden,5,5
Georgia,5,5
Saudi Arabia,5,5
Cote D'Ivoire,4,4
Mexico,4,4
Chile,4,4
Somalia,3,4
Azerbaijan,2,4
Israel,4,4
Norway,4,4
Vietnam,4,4
Finland,4,4
Belarus,4,4
Sri Lanka,3,4
Czechia,4,4
Albania,3,3
Liberia,3,3
Belize,3,3
Bahamas,3,3
Australia,3,3
Croatia,3,3
Bulgaria,2,3
Sierra Leone,2,3
Serbia,3,3
Mayotte,3,3
Djibouti,3,3
Ukraine,3,3
Equatorial Guinea,2,2
Saint Lucia,2,2
Kyrgyzstan,2,2
Ecuador,2,2
Kenya,2,2
Barbados,2,2
U.S. Virgin Islands,2,2
Argentina,2,2
Japan,2,2
Trinidad and Tobago,2,2
Egypt,1,2
Peru,2,2
Paraguay,2,2
Greece,2,2
Guatemala,1,1
French Guiana,1,1
Faroe Islands,1,1
Iceland,1,1
Gambia,1,1
Sudan,1,1
Palestine,1,1
Dominican Republic,1,1
Monaco,1,1
Botswana,1,1
Cambodia,1,1
Costa Rica,1,1
Laos,1,1
Oman,1,1
Colombia,1,1
Taiwan,1,1
New Caledonia,1,1
Pakistan,1,1
French Polynesia,1,1
Denmark,1,1
Puerto Rico,1,1
Bosnia and Herzegovina,1,1
